"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","2382","56","0","2025","A","",3937,38744,2820863573,440717004,2393687,1400,72808,"",1.23,1.09,1.14,1.03,0.88,1.04,1.04,"",124,3.3,1795,4.9,290476247,11.5,20106170,4.8,-255820,-9.7,83,6.3,4324,6.3
"01001","5","2382","76","0","2025","A","",32,185,10288297,1903562,6518,1072,55738,"",1.37,0.85,0.82,0.79,0.38,0.97,0.97,"",3,10.3,2,1.1,503021,5.1,-182307,-8.7,-1867,-22.3,45,4.4,2315,4.3
"01003","5","2382","76","0","2025","A","",269,1936,123246658,22452714,115611,1224,63669,"",1.47,1.32,1.44,1.16,0.88,1.10,1.10,"",10,3.9,126,7.0,11807876,10.6,734375,3.4,-14869,-11.4,40,3.4,2112,3.4
"01005","5","2382","76","0","2025","A","",8,25,826998,231234,905,626,32538,"",0.69,0.19,0.13,0.16,0.10,0.64,0.64,"",0,0.0,-9,-26.5,-363582,-30.5,-96062,-29.4,-753,-45.4,-44,-6.6,-2308,-6.6
"01007","5","2382","76","0","2025","A","",12,53,2442265,513698,6393,879,45721,"",1.31,0.65,0.49,0.58,1.26,0.75,0.75,"",0,0.0,2,3.9,-49315,-2.0,-3317,-0.6,2276,55.3,-54,-5.8,-2816,-5.8
"01009","5","2382","76","0","2025","A","",48,159,8422395,1704704,14695,1017,52888,"",2.44,1.03,1.05,1.01,1.26,1.02,1.02,"",7,17.1,16,11.2,1470084,21.1,95016,5.9,-3589,-19.6,81,8.7,4214,8.7
"01013","5","2382","76","0","2025","A","",9,63,3843474,688823,2481,1179,61332,"",0.87,0.56,0.65,0.46,0.32,1.18,1.18,"",0,0.0,8,14.5,184076,5.0,15408,2.3,-404,-14.0,-95,-7.5,-4901,-7.4
"01015","5","2382","76","0","2025","A","",74,500,28831442,5289656,23520,1110,57711,"",1.30,0.69,0.70,0.69,0.54,1.01,1.01,"",7,10.4,0,0.0,-460344,-1.6,-200354,-3.6,-903,-3.7,-17,-1.5,-912,-1.6
"01017","5","2382","76","0","2025","A","",23,121,7165268,1232674,4671,1140,59258,"",1.43,0.77,0.80,0.65,0.31,1.04,1.04,"",1,4.5,8,7.1,829950,13.1,56204,4.8,-1411,-23.2,60,5.6,3110,5.5
"01019","5","2382","76","0","2025","A","",13,57,3651355,938668,1876,1234,64153,"",1.27,0.63,0.79,0.90,0.28,1.26,1.26,"",-1,-7.1,-9,-13.6,-827993,-18.5,-31349,-3.2,-4148,-68.9,-66,-5.1,-3460,-5.1
"01021","5","2382","76","0","2025","A","",26,140,9215018,1519227,4999,1265,65782,"",1.40,0.89,1.09,0.82,0.36,1.23,1.23,"",1,4.0,-14,-9.1,63646,0.7,-184047,-10.8,-6342,-55.9,119,10.4,6196,10.4
"01023","5","2382","76","0","2025","A","",9,150,12471635,2900758,10177,1603,83376,"",1.27,2.67,3.22,4.04,2.01,1.21,1.21,"",2,28.6,58,63.0,4492249,56.3,1777617,158.3,5909,138.4,-60,-3.6,-3121,-3.6
"01025","5","2382","76","0","2025","A","",7,30,1569868,314370,773,1004,52184,"",0.49,0.23,0.22,0.22,0.09,0.92,0.92,"N",-3,-30.0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","2382","76","0","2025","A","N",6,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,"N",1,20.0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","2382","76","0","2025","A","",4,16,713987,140328,1079,863,44858,"",0.70,0.34,0.24,0.26,0.36,0.72,0.72,"",1,33.3,0,0.0,101403,16.6,5870,4.4,210,24.2,127,17.3,6572,17.2
"01031","5","2382","76","0","2025","A","",19,187,9180579,1846864,8643,944,49072,"",0.68,0.63,0.59,0.50,0.43,0.93,0.93,"",1,5.6,-5,-2.6,-108376,-1.2,-77504,-4.0,-1211,-12.3,15,1.6,755,1.6
"01033","5","2382","76","0","2025","A","",42,867,60972425,9824443,86388,1352,70326,"",1.26,2.10,2.27,2.04,2.42,1.08,1.08,"",0,0.0,-13,-1.5,3767954,6.6,-382455,-3.7,12215,16.5,103,8.2,5358,8.2
"01035","5","2382","76","0","2025","A","",5,44,2154551,448843,985,947,49247,"",0.87,0.78,0.70,0.65,0.32,0.91,0.91,"",0,0.0,-1,-2.2,31018,1.5,-54529,-10.8,-2644,-72.9,36,4.0,1882,4.0
"01037","5","2382","76","0","2025","A","",3,15,824169,160811,2540,1087,56514,"",0.92,0.62,0.55,0.59,1.77,0.92,0.92,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","2382","76","0","2025","A","",18,137,7090809,1808183,5920,998,51916,"",0.79,0.66,0.62,0.74,0.39,0.94,0.94,"",3,20.0,31,29.2,2020812,39.9,523748,40.8,-7727,-56.6,80,8.7,4198,8.8
"01041","5","2382","76","0","2025","A","",11,70,3909212,653584,3144,1078,56046,"",1.84,1.22,1.25,0.96,0.59,1.03,1.03,"",0,0.0,4,6.1,-356344,-8.4,30647,4.9,-394,-11.1,-160,-12.9,-8340,-13.0
"01043","5","2382","76","0","2025","A","",88,491,29663122,5615201,48090,1163,60455,"",1.89,0.95,0.98,0.88,1.43,1.04,1.04,"",10,12.8,60,13.9,4148117,16.3,813456,16.9,-6748,-12.3,26,2.3,1313,2.2
"01045","5","2382","76","0","2025","A","",18,85,4479856,771118,2888,1010,52498,"",0.80,0.28,0.20,0.25,0.14,0.72,0.72,"",2,12.5,1,1.2,185953,4.3,-83878,-9.8,-1977,-40.6,23,2.3,1176,2.3
"01047","5","2382","76","0","2025","A","",17,118,6104971,1087773,3880,992,51591,"",0.87,0.62,0.57,0.49,0.22,0.93,0.93,"",1,6.2,2,1.7,197547,3.3,-9531,-0.9,-2549,-39.6,13,1.3,701,1.4
"01049","5","2382","76","0","2025","A","",41,293,17966988,3076132,43865,1179,61303,"",1.34,0.74,0.79,0.63,1.66,1.08,1.08,"",5,13.9,40,15.8,3202177,21.7,423191,16.0,7855,21.8,58,5.2,3021,5.2
"01051","5","2382","76","0","2025","A","",72,496,35258635,5651581,17784,1366,71014,"",1.95,1.34,1.78,1.32,0.77,1.33,1.33,"",4,5.9,23,4.9,1835912,5.5,465476,9.0,314,1.8,6,0.4,315,0.4
"01053","5","2382","76","0","2025","A","",25,119,6859889,1332024,12179,1107,57566,"",1.34,0.55,0.55,0.53,0.86,1.00,1.00,"",-1,-3.8,-5,-4.0,117439,1.7,-106399,-7.4,1023,9.2,64,6.1,3337,6.2
"01055","5","2382","76","0","2025","A","",74,513,28061475,5252700,33804,1051,54674,"",1.49,0.93,0.97,0.74,0.80,1.05,1.05,"",3,4.2,28,5.8,2078607,8.0,82701,1.6,-2992,-8.1,21,2.0,1110,2.1
"01057","5","2382","76","0","2025","A","N",8,0,0,0,0,0,0,"N",1.15,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","2382","76","0","2025","A","",14,51,3622756,573354,4082,1375,71502,"",1.02,0.28,0.36,0.27,0.27,1.32,1.32,"",2,16.7,6,13.3,764552,26.7,31550,5.8,678,19.9,160,13.2,8337,13.2
"01061","5","2382","76","0","2025","A","",8,33,1067403,320609,1514,616,32022,"",0.66,0.35,0.24,0.28,0.27,0.68,0.68,"",-1,-11.1,-7,-17.5,-375980,-26.0,-191459,-37.4,-65,-4.1,-69,-10.1,-3617,-10.1
"01065","5","2382","76","0","2025","A","",11,147,10052797,1624937,5383,1313,68270,"",1.62,3.30,4.16,3.50,1.96,1.26,1.26,"",1,10.0,6,4.3,840283,9.1,-30770,-1.9,-7161,-57.1,54,4.3,2778,4.2
"01067","5","2382","76","0","2025","A","",8,79,4555799,798893,1886,1111,57790,"",0.95,1.26,1.15,1.07,0.50,0.92,0.92,"",0,0.0,3,3.9,128584,2.9,122461,18.1,-663,-26.0,-3,-0.3,-145,-0.3
"01069","5","2382","76","0","2025","A","",64,842,52125905,8527587,23028,1191,61938,"",0.85,0.98,0.99,0.82,0.39,1.01,1.01,"",2,3.2,50,6.3,5048096,10.7,-151115,-1.7,-6069,-20.9,48,4.2,2528,4.3
"01071","5","2382","76","0","2025","A","",44,240,12094524,2557728,14301,967,50307,"",1.82,0.95,0.85,0.84,0.74,0.89,0.89,"",3,7.3,-13,-5.1,-845049,-6.5,-267220,-9.5,-7414,-34.1,-17,-1.7,-838,-1.6
"01073","5","2382","76","0","2025","A","",520,7175,576985273,80547389,442346,1547,80419,"",1.12,1.16,1.15,1.07,0.94,0.99,0.98,"",3,0.6,288,4.2,57352390,11.0,4724042,6.2,-90301,-17.0,96,6.6,4970,6.6
"01075","5","2382","76","0","2025","A","",8,28,1532833,383351,4300,1043,54260,"",1.39,0.50,0.48,0.60,1.22,0.95,0.95,"",1,14.3,-6,-17.6,-149614,-8.9,-112529,-22.7,-498,-10.4,98,10.4,5137,10.5
"01077","5","2382","76","0","2025","A","",75,1081,76748340,12094663,91842,1365,70981,"",1.43,2.09,2.81,2.00,2.37,1.35,1.35,"",6,8.7,123,12.8,18586054,32.0,1909457,18.7,5700,6.6,197,16.9,10269,16.9
"01079","5","2382","76","0","2025","A","",24,168,10875246,1722532,10018,1241,64542,"",2.09,1.81,2.11,1.87,1.67,1.16,1.16,"",3,14.3,-10,-5.6,170533,1.6,-184639,-9.7,-3080,-23.5,85,7.4,4431,7.4
"01081","5","2382","76","0","2025","A","",109,933,53806459,10163791,36161,1109,57686,"",1.21,0.82,0.77,0.80,0.45,0.95,0.95,"",7,6.9,74,8.6,5893600,12.3,891102,9.6,4017,12.5,37,3.5,1930,3.5
"01083","5","2382","76","0","2025","A","",82,706,46759642,7476296,41623,1274,66271,"",1.85,1.22,1.15,1.00,0.80,0.95,0.95,"",8,10.8,39,5.8,4752697,11.3,588506,8.5,1448,3.6,62,5.1,3253,5.2
"01085","5","2382","76","0","2025","A","N",4,0,0,0,0,0,0,"N",0.95,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0
"01087","5","2382","76","0","2025","A","N",4,0,0,0,0,0,0,"N",0.64,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","5","2382","76","0","2025","A","",266,3393,266473854,36498326,276835,1510,78542,"",0.93,0.86,0.78,0.80,0.95,0.91,0.91,"",14,5.6,325,10.6,50472714,23.4,2278246,6.7,50149,22.1,156,11.5,8126,11.5
"01091","5","2382","76","0","2025","A","",10,100,6344857,863543,3208,1215,63185,"",0.87,0.83,0.86,0.60,0.44,1.04,1.04,"",1,11.1,4,4.2,-301385,-4.5,-145713,-14.4,-3746,-53.9,-113,-8.5,-5867,-8.5
"01093","5","2382","76","0","2025","A","",7,58,2816258,628753,1592,939,48837,"",0.48,0.35,0.31,0.32,0.13,0.90,0.90,"",1,16.7,-2,-3.3,-96957,-3.3,-60770,-8.8,-1624,-50.5,1,0.1,80,0.2
"01095","5","2382","76","0","2025","A","",83,464,24879595,4978027,32584,1031,53591,"",1.58,0.68,0.66,0.57,0.80,0.98,0.98,"",7,9.2,12,2.7,1196486,5.1,154375,3.2,-3849,-10.6,24,2.4,1224,2.3
"01097","5","2382","76","0","2025","A","",313,5421,440157107,69830160,325967,1561,81190,"",1.28,1.85,2.17,1.96,1.43,1.17,1.17,"",17,5.7,137,2.6,34168348,8.4,3086692,4.6,-50908,-13.5,83,5.6,4353,5.7
"01099","5","2382","76","0","2025","A","",7,30,1684598,305832,1013,1065,55384,"",0.73,0.30,0.28,0.26,0.12,0.91,0.91,"",1,16.7,2,7.1,253101,17.7,-19178,-5.9,162,19.0,88,9.0,4562,9.0
"01101","5","2382","76","0","2025","A","",126,2058,151232824,21500943,113014,1413,73467,"",0.86,0.93,0.98,0.93,0.75,1.06,1.06,"",1,0.8,22,1.1,9917902,7.0,-518333,-2.4,13155,13.2,78,5.8,4045,5.8
"01103","5","2382","76","0","2025","A","",123,1460,112667627,16321545,56978,1484,77174,"",1.85,1.60,1.82,1.36,0.83,1.13,1.13,"",4,3.4,117,8.7,16609613,17.3,1037960,6.8,-6435,-10.1,109,7.9,5662,7.9
"01105","5","2382","76","0","2025","A","N",2,0,0,0,0,0,0,"N",0.53,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"01107","5","2382","76","0","2025","A","",6,45,2749891,445969,3369,1173,60996,"",0.81,0.73,0.77,0.72,0.83,1.06,1.06,"",0,0.0,-27,-37.5,-1714498,-38.4,-363212,-44.9,-945,-21.9,-15,-1.3,-795,-1.3
"01109","5","2382","76","0","2025","A","",9,17,913877,174029,2848,1060,55108,"",0.56,0.07,0.06,0.06,0.15,0.94,0.94,"",1,12.5,2,13.3,318740,53.6,13513,8.4,-49,-1.7,280,35.9,14530,35.8
"01111","5","2382","76","0","2025","A","",15,90,5503666,1196322,7194,1173,60982,"",1.57,1.10,1.39,1.32,1.05,1.25,1.25,"",1,7.1,-11,-10.9,-706621,-11.4,99877,9.1,-1155,-13.8,-12,-1.0,-659,-1.1
"01113","5","2382","76","0","2025","A","",40,265,15251287,3276883,18710,1106,57534,"",1.64,1.14,1.21,1.19,1.18,1.06,1.06,"",-2,-4.8,-22,-7.7,-979566,-6.0,-134312,-3.9,-14038,-42.9,19,1.7,1030,1.8
