"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"01000","5","238","55","0","2024","A","",7726,63901,4267033796,737139597,4863774,1284,66776,"",0.98,0.91,0.99,0.87,0.71,1.08,1.08,"",257,3.4,3485,5.8,477690699,12.6,41913108,6.0,-1189850,-19.7,78,6.5,4055,6.5
"01001","5","238","75","0","2024","A","",63,411,21807914,4593001,21290,1020,53050,"",1.15,1.00,1.05,1.02,0.58,1.05,1.05,"",3,5.0,30,7.9,2716570,14.2,215718,4.9,-8844,-29.3,57,5.9,2974,5.9
"01003","5","238","75","0","2024","A","",570,3542,233709338,43491772,333455,1269,65987,"",1.33,1.25,1.62,1.17,1.10,1.30,1.30,"",23,4.2,370,11.7,54730419,30.6,7374868,20.4,88343,36.0,184,17.0,9570,17.0
"01005","5","238","75","0","2024","A","",20,81,3841755,880651,6198,912,47429,"",0.69,0.32,0.33,0.29,0.23,1.04,1.04,"",1,5.3,6,8.0,483878,14.4,-93177,-9.6,-4026,-39.4,45,5.2,2357,5.2
"01007","5","238","75","0","2024","A","",34,132,6644154,1455524,7933,965,50176,"",1.57,0.82,0.78,0.82,0.48,0.95,0.95,"",2,6.2,-9,-6.4,-545285,-7.6,10745,0.7,-5640,-41.6,-18,-1.8,-934,-1.8
"01009","5","238","75","0","2024","A","",99,414,23641222,4515253,38605,1098,57116,"",2.12,1.37,1.72,1.41,1.53,1.26,1.26,"",4,4.2,52,14.4,4821281,25.6,504136,12.6,2337,6.4,98,9.8,5127,9.9
"01011","5","238","75","0","2024","A","N",2,0,0,0,0,0,0,"N",0.20,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","238","75","0","2024","A","",21,125,7672112,1546083,17795,1180,61336,"",0.82,0.55,0.74,0.53,0.74,1.34,1.34,"",-1,-4.5,4,3.3,364431,5.0,-38920,-2.5,-7885,-30.7,20,1.7,1025,1.7
"01015","5","238","75","0","2024","A","",124,748,44898744,8304162,43066,1154,60025,"",0.90,0.51,0.60,0.53,0.36,1.17,1.17,"",6,5.1,47,6.7,4158202,10.2,720526,9.5,-8566,-16.6,37,3.3,1942,3.3
"01017","5","238","75","0","2024","A","",45,186,10818488,1942600,11977,1117,58086,"",1.18,0.62,0.69,0.53,0.40,1.12,1.12,"",1,2.3,-19,-9.3,-29214,-0.3,-95666,-4.7,1240,11.5,99,9.7,5127,9.7
"01019","5","238","75","0","2024","A","",20,87,5420213,1186200,7775,1199,62361,"",0.82,0.49,0.69,0.58,0.52,1.40,1.40,"",-1,-4.8,-16,-15.5,-1115152,-17.1,-247831,-17.3,6,0.1,-22,-1.8,-1141,-1.8
"01021","5","238","75","0","2024","A","",76,452,31274634,4846200,26756,1330,69141,"",1.69,1.49,2.17,1.38,0.80,1.46,1.46,"",7,10.1,19,4.4,5854555,23.0,260899,5.7,-6376,-19.2,201,17.8,10445,17.8
"01023","5","238","75","0","2024","A","N",15,0,0,0,0,0,0,"N",0.87,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","238","75","0","2024","A","N",13,0,0,0,0,0,0,"N",0.36,0,0,0,0,0,0,"N",-3,-18.8,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","238","75","0","2024","A","",9,24,971422,224812,2890,784,40759,"",0.73,0.17,0.16,0.13,0.28,0.92,0.92,"",0,0.0,1,4.3,60485,6.6,-3645,-1.6,-1948,-40.3,36,4.8,1858,4.8
"01029","5","238","75","0","2024","A","",16,44,2688272,481884,4203,1177,61213,"",1.13,0.49,0.54,0.46,0.46,1.12,1.12,"",1,6.7,-4,-8.3,90325,3.5,-36358,-7.0,-300,-6.7,134,12.8,6995,12.9
"01031","5","238","75","0","2024","A","",52,299,13741587,2981863,14054,885,45997,"",0.78,0.52,0.52,0.42,0.29,1.00,1.00,"",2,4.0,12,4.2,846592,6.6,59779,2.0,2893,25.9,20,2.3,1041,2.3
"01033","5","238","75","0","2024","A","",84,1207,76469142,13715528,94233,1218,63342,"",1.06,1.48,1.63,1.41,1.14,1.10,1.10,"",9,12.0,67,5.9,2466000,3.3,1009291,7.9,532,0.6,-30,-2.4,-1559,-2.4
"01035","5","238","75","0","2024","A","",11,76,3465294,924123,5035,877,45596,"",0.79,0.69,0.67,0.71,0.57,0.96,0.96,"",1,10.0,4,5.6,191742,5.9,121788,15.2,-11882,-70.2,-1,-0.1,-81,-0.2
"01037","5","238","75","0","2024","A","",7,17,765074,162074,1960,883,45904,"",0.91,0.35,0.31,0.28,0.30,0.90,0.90,"",1,16.7,3,21.4,152245,24.8,24263,17.6,1396,247.5,36,4.3,1868,4.2
"01039","5","238","75","0","2024","A","",44,236,12216651,2696405,28469,997,51857,"",0.80,0.58,0.63,0.59,0.72,1.09,1.09,"",0,0.0,33,16.3,1965085,19.2,307313,12.9,-2881,-9.2,23,2.4,1232,2.4
"01041","5","238","75","0","2024","A","",18,86,5347770,844303,6533,1194,62063,"",1.23,0.73,0.94,0.61,0.36,1.29,1.29,"",2,12.5,11,14.7,1173255,28.1,103486,14.0,-588,-8.3,118,11.0,6092,10.9
"01043","5","238","75","0","2024","A","",182,871,48112721,9322347,86030,1062,55244,"",1.62,0.84,0.90,0.72,1.08,1.07,1.07,"",5,2.8,61,7.5,5935396,14.1,350427,3.9,-22080,-20.4,61,6.1,3179,6.1
"01045","5","238","75","0","2024","A","",42,198,9152704,2155424,13626,890,46304,"",0.76,0.33,0.24,0.35,0.29,0.72,0.72,"",-2,-4.5,27,15.8,2137565,30.5,420515,24.2,-4420,-24.5,99,12.5,5180,12.6
"01047","5","238","75","0","2024","A","",34,253,12107965,3020289,35990,922,47937,"",0.71,0.67,0.65,0.69,0.71,0.97,0.97,"",2,6.2,35,16.1,972821,8.7,345486,12.9,2482,7.4,-59,-6.0,-3064,-6.0
"01049","5","238","75","0","2024","A","",74,552,37795486,5934167,46796,1316,68408,"",1.02,0.71,0.97,0.60,0.74,1.36,1.36,"",5,7.2,111,25.2,8355269,28.4,1342498,29.2,4261,10.0,32,2.5,1625,2.4
"01051","5","238","75","0","2024","A","",124,753,49606304,8985486,47072,1266,65856,"",1.42,1.05,1.45,1.09,0.87,1.38,1.38,"",3,2.5,37,5.2,5217258,11.8,457238,5.4,-12366,-20.8,74,6.2,3896,6.3
"01053","5","238","75","0","2024","A","",46,253,13339113,2895533,21679,1014,52706,"",1.01,0.59,0.61,0.59,0.62,1.03,1.03,"",-1,-2.1,-10,-3.8,525784,4.1,-42073,-1.4,-2171,-9.1,76,8.1,3955,8.1
"01055","5","238","75","0","2024","A","",113,791,40991994,8533307,68190,996,51801,"",0.95,0.72,0.81,0.60,0.66,1.12,1.12,"",8,7.6,85,12.0,5585478,15.8,1165791,15.8,7349,12.1,32,3.3,1680,3.4
"01057","5","238","75","0","2024","A","",24,122,5978434,1393683,10733,944,49104,"",1.33,0.93,1.02,1.02,0.80,1.10,1.10,"",-1,-4.0,-17,-12.2,-1647026,-21.6,-410826,-22.8,-23219,-68.4,-115,-10.9,-5953,-10.8
"01059","5","238","75","0","2024","A","",42,158,9244974,1670653,14822,1124,58451,"",1.25,0.43,0.53,0.39,0.42,1.22,1.22,"",2,5.0,4,2.6,1865006,25.3,126212,8.2,2284,18.2,204,22.2,10607,22.2
"01061","5","238","75","0","2024","A","",38,133,5493624,1454953,10545,794,41280,"",1.29,0.73,0.71,0.67,0.75,0.97,0.97,"",1,2.7,1,0.8,553701,11.2,-93593,-6.0,-9845,-48.3,72,10.0,3738,10.0
